#Frame         RMSD_00002
      0.0002       0.1948
      0.0004       0.2876
      0.0006       0.2524
      0.0008       0.2562
      0.0010       0.3503
      0.0012       0.4268
      0.0014       0.2695
      0.0016       0.2348
      0.0018       0.2772
      0.0020       0.2665
      0.0022       0.3149
      0.0024       0.3739
      0.0026       0.2521
      0.0028       0.1830
      0.0030       0.2968
      0.0032       0.3019
      0.0034       0.1993
      0.0036       0.3323
      0.0038       0.4166
      0.0040       0.3072
      0.0042       0.2194
      0.0044       0.2842
      0.0046       0.2517
      0.0048       0.2073
      0.0050       0.4627
      0.0052       0.4757
      0.0054       0.3123
      0.0056       0.2453
      0.0058       0.1954
      0.0060       0.1956
      0.0062       0.3022
      0.0064       0.4043
      0.0066       0.2844
      0.0068       0.2469
      0.0070       0.3006
      0.0072       0.2928
      0.0074       0.2035
      0.0076       0.4656
      0.0078       0.3514
      0.0080       0.4080
      0.0082       0.2791
      0.0084       0.2688
      0.0086       0.2475
      0.0088       0.2826
      0.0090       0.2749
      0.0092       0.3812
      0.0094       0.2605
      0.0096       0.2415
      0.0098       0.3477
      0.0100       0.2111
      0.0102       0.3089
      0.0104       0.2957
      0.0106       0.2297
      0.0108       0.2802
      0.0110       0.3602
      0.0112       0.2912
      0.0114       0.2193
      0.0116       0.3084
      0.0118       0.3353
      0.0120       0.2742
      0.0122       0.2178
      0.0124       0.2469
      0.0126       0.2410
      0.0128       0.2205
      0.0130       0.3139
      0.0132       0.2039
      0.0134       0.3481
      0.0136       0.2569
      0.0138       0.2052
      0.0140       0.3518
      0.0142       0.3168
      0.0144       0.2694
      0.0146       0.3604
      0.0148       0.2446
      0.0150       0.3818
      0.0152       0.3690
      0.0154       0.2401
      0.0156       0.3524
      0.0158       0.2627
      0.0160       0.1841
      0.0162       0.3057
      0.0164       0.2924
      0.0166       0.2059
      0.0168       0.3070
      0.0170       0.3174
      0.0172       0.2047
      0.0174       0.3231
      0.0176       0.3717
      0.0178       0.2989
      0.0180       0.2622
      0.0182       0.2581
      0.0184       0.3834
      0.0186       0.3789
      0.0188       0.2645
      0.0190       0.3108
      0.0192       0.3189
      0.0194       0.2910
      0.0196       0.3284
      0.0198       0.2468
      0.0200       0.3298
      0.0202       0.2551
      0.0204       0.2206
      0.0206       0.2571
      0.0208       0.3239
      0.0210       0.3851
      0.0212       0.3489
      0.0214       0.3351
      0.0216       0.3376
      0.0218       0.2832
      0.0220       0.2388
      0.0222       0.3073
      0.0224       0.3554
      0.0226       0.3286
      0.0228       0.3779
      0.0230       0.2610
      0.0232       0.2294
      0.0234       0.3086
      0.0236       0.3363
      0.0238       0.2737
      0.0240       0.2134
      0.0242       0.2976
      0.0244       0.3243
      0.0246       0.2799
      0.0248       0.2731
      0.0250       0.3183
      0.0252       0.3702
      0.0254       0.3830
      0.0256       0.2042
      0.0258       0.1507
      0.0260       0.3054
      0.0262       0.2406
      0.0264       0.2953
      0.0266       0.2198
      0.0268       0.2765
      0.0270       0.3078
      0.0272       0.1763
      0.0274       0.2485
      0.0276       0.2449
      0.0278       0.3461
      0.0280       0.3222
      0.0282       0.3319
      0.0284       0.3305
      0.0286       0.2941
      0.0288       0.2699
      0.0290       0.4079
      0.0292       0.3363
      0.0294       0.2850
      0.0296       0.3004
      0.0298       0.3741
      0.0300       0.2845
      0.0302       0.3467
      0.0304       0.3067
      0.0306       0.4042
      0.0308       0.3064
      0.0310       0.4263
      0.0312       0.2741
      0.0314       0.3163
      0.0316       0.2995
      0.0318       0.2943
      0.0320       0.3786
      0.0322       0.3723
      0.0324       0.3201
      0.0326       0.2812
      0.0328       0.2991
      0.0330       0.2604
      0.0332       0.3708
      0.0334       0.4171
      0.0336       0.3638
      0.0338       0.3297
      0.0340       0.2585
      0.0342       0.3700
      0.0344       0.3441
      0.0346       0.4085
      0.0348       0.4000
      0.0350       0.3385
      0.0352       0.3096
      0.0354       0.3394
      0.0356       0.3243
      0.0358       0.3646
      0.0360       0.4397
      0.0362       0.4371
      0.0364       0.3199
      0.0366       0.3383
      0.0368       0.3041
      0.0370       0.4177
      0.0372       0.2718
      0.0374       0.3096
      0.0376       0.2788
      0.0378       0.2865
      0.0380       0.3496
      0.0382       0.3613
      0.0384       0.2872
      0.0386       0.2775
      0.0388       0.3569
      0.0390       0.3061
      0.0392       0.2889
      0.0394       0.4165
      0.0396       0.3775
      0.0398       0.3428
      0.0400       0.3005
      0.0402       0.3648
      0.0404       0.2679
      0.0406       0.2596
      0.0408       0.3164
      0.0410       0.3683
      0.0412       0.2541
      0.0414       0.3056
      0.0416       0.2428
      0.0418       0.2979
      0.0420       0.3193
      0.0422       0.2631
      0.0424       0.3889
      0.0426       0.2901
      0.0428       0.4094
      0.0430       0.2755
      0.0432       0.3048
      0.0434       0.2715
      0.0436       0.4048
      0.0438       0.2973
      0.0440       0.3912
      0.0442       0.2887
      0.0444       0.1532
      0.0446       0.2790
      0.0448       0.2970
      0.0450       0.3996
      0.0452       0.3116
      0.0454       0.2829
      0.0456       0.2648
      0.0458       0.3068
      0.0460       0.2604
      0.0462       0.3096
      0.0464       0.3558
      0.0466       0.3241
      0.0468       0.2834
      0.0470       0.1996
      0.0472       0.2391
      0.0474       0.2412
      0.0476       0.2939
      0.0478       0.3169
      0.0480       0.2898
      0.0482       0.2754
      0.0484       0.2072
      0.0486       0.3102
      0.0488       0.3099
      0.0490       0.3053
      0.0492       0.3275
      0.0494       0.2470
      0.0496       0.3111
      0.0498       0.3093
      0.0500       0.3763
      0.0502       0.2294
      0.0504       0.3796
      0.0506       0.2815
      0.0508       0.3736
      0.0510       0.4728
      0.0512       0.2918
      0.0514       0.1761
      0.0516       0.4186
      0.0518       0.3103
      0.0520       0.1532
      0.0522       0.2931
      0.0524       0.3331
      0.0526       0.3634
      0.0528       0.3427
      0.0530       0.3051
      0.0532       0.2122
      0.0534       0.2881
      0.0536       0.3558
      0.0538       0.3278
      0.0540       0.2322
      0.0542       0.3432
      0.0544       0.2794
      0.0546       0.3509
      0.0548       0.2967
      0.0550       0.2205
      0.0552       0.3183
      0.0554       0.3472
      0.0556       0.2814
      0.0558       0.3231
      0.0560       0.3062
      0.0562       0.2485
      0.0564       0.3088
      0.0566       0.2926
      0.0568       0.2914
      0.0570       0.2844
      0.0572       0.3372
      0.0574       0.3197
      0.0576       0.3085
      0.0578       0.2495
      0.0580       0.3150
      0.0582       0.3021
      0.0584       0.3022
      0.0586       0.2941
      0.0588       0.2164
      0.0590       0.2986
      0.0592       0.2928
      0.0594       0.2613
      0.0596       0.3131
      0.0598       0.2636
      0.0600       0.2881
      0.0602       0.2986
      0.0604       0.3473
      0.0606       0.2108
      0.0608       0.2418
      0.0610       0.3119
      0.0612       0.2165
      0.0614       0.2527
      0.0616       0.3950
      0.0618       0.2842
      0.0620       0.2787
      0.0622       0.2859
      0.0624       0.3317
      0.0626       0.2565
      0.0628       0.3287
      0.0630       0.2853
      0.0632       0.1805
      0.0634       0.3031
      0.0636       0.2574
      0.0638       0.2052
      0.0640       0.3857
      0.0642       0.3039
      0.0644       0.1986
      0.0646       0.2713
      0.0648       0.3335
      0.0650       0.2414
      0.0652       0.3012
      0.0654       0.2882
      0.0656       0.2550
      0.0658       0.3397
      0.0660       0.4042
      0.0662       0.2502
      0.0664       0.1926
      0.0666       0.3575
      0.0668       0.3247
      0.0670       0.2057
      0.0672       0.2205
      0.0674       0.3186
      0.0676       0.4156
      0.0678       0.2243
      0.0680       0.3017
      0.0682       0.3121
      0.0684       0.1720
      0.0686       0.2854
      0.0688       0.2635
      0.0690       0.2717
      0.0692       0.2752
      0.0694       0.2104
      0.0696       0.2523
      0.0698       0.2911
      0.0700       0.3228
      0.0702       0.3313
      0.0704       0.2908
      0.0706       0.2639
      0.0708       0.2699
      0.0710       0.3609
      0.0712       0.2738
      0.0714       0.2688
      0.0716       0.4105
      0.0718       0.1993
      0.0720       0.2730
      0.0722       0.2211
      0.0724       0.2318
      0.0726       0.3176
      0.0728       0.2197
      0.0730       0.4452
      0.0732       0.4223
      0.0734       0.2631
      0.0736       0.4138
      0.0738       0.3418
      0.0740       0.3628
      0.0742       0.2641
      0.0744       0.3130
      0.0746       0.4213
      0.0748       0.2360
      0.0750       0.2904
      0.0752       0.2603
      0.0754       0.3003
      0.0756       0.2914
      0.0758       0.2040
      0.0760       0.3180
      0.0762       0.3114
      0.0764       0.2825
      0.0766       0.4281
      0.0768       0.2104
      0.0770       0.2530
      0.0772       0.2864
      0.0774       0.2448
      0.0776       0.3520
      0.0778       0.3964
      0.0780       0.2923
      0.0782       0.4156
      0.0784       0.3759
      0.0786       0.2876
      0.0788       0.3408
      0.0790       0.3600
      0.0792       0.3192
      0.0794       0.4135
      0.0796       0.3201
      0.0798       0.3279
      0.0800       0.3407
      0.0802       0.2763
      0.0804       0.2972
      0.0806       0.5079
      0.0808       0.3157
      0.0810       0.3137
      0.0812       0.2467
      0.0814       0.3201
      0.0816       0.2963
      0.0818       0.3453
      0.0820       0.3526
      0.0822       0.3314
      0.0824       0.2936
      0.0826       0.3433
      0.0828       0.4104
      0.0830       0.3239
      0.0832       0.2371
      0.0834       0.4069
      0.0836       0.3536
      0.0838       0.2772
      0.0840       0.3928
      0.0842       0.2739
      0.0844       0.3216
      0.0846       0.2879
      0.0848       0.2580
      0.0850       0.3330
      0.0852       0.3098
      0.0854       0.3949
      0.0856       0.3389
      0.0858       0.2595
      0.0860       0.2776
      0.0862       0.2985
      0.0864       0.2136
      0.0866       0.4202
      0.0868       0.2676
      0.0870       0.3143
      0.0872       0.4433
      0.0874       0.3504
      0.0876       0.2783
      0.0878       0.2432
      0.0880       0.3734
      0.0882       0.4206
      0.0884       0.3542
      0.0886       0.2772
      0.0888       0.3226
      0.0890       0.2675
      0.0892       0.3452
      0.0894       0.2613
      0.0896       0.4000
      0.0898       0.3489
      0.0900       0.2694
      0.0902       0.4123
      0.0904       0.2963
      0.0906       0.3215
      0.0908       0.3779
      0.0910       0.4355
      0.0912       0.3171
      0.0914       0.3240
      0.0916       0.3203
      0.0918       0.2556
      0.0920       0.3864
      0.0922       0.3483
      0.0924       0.3570
      0.0926       0.3104
      0.0928       0.4339
      0.0930       0.4276
      0.0932       0.3293
      0.0934       0.4204
      0.0936       0.3524
      0.0938       0.3983
      0.0940       0.3973
      0.0942       0.4210
      0.0944       0.3865
      0.0946       0.4434
      0.0948       0.3844
      0.0950       0.3388
      0.0952       0.3962
      0.0954       0.3653
      0.0956       0.4233
      0.0958       0.4590
      0.0960       0.4065
      0.0962       0.4021
      0.0964       0.4419
      0.0966       0.4355
      0.0968       0.3647
      0.0970       0.3365
      0.0972       0.4482
      0.0974       0.3662
      0.0976       0.3381
      0.0978       0.4066
      0.0980       0.4391
      0.0982       0.3939
      0.0984       0.4003
      0.0986       0.4521
      0.0988       0.4032
      0.0990       0.3474
      0.0992       0.3892
      0.0994       0.4588
      0.0996       0.3550
      0.0998       0.3784
      0.1000       0.4292
      0.1002       0.4148
      0.1004       0.4463
      0.1006       0.4635
      0.1008       0.4539
      0.1010       0.5511
      0.1012       0.6386
      0.1014       0.6095
      0.1016       0.5368
      0.1018       0.5960
      0.1020       0.7371
      0.1022       0.7101
      0.1024       0.6642
      0.1026       0.6442
      0.1028       0.7268
      0.1030       0.5960
      0.1032       0.5351
      0.1034       0.5434
      0.1036       0.6212
      0.1038       0.6771
      0.1040       0.6894
      0.1042       0.6033
      0.1044       0.5494
      0.1046       0.5190
      0.1048       0.5972
      0.1050       0.6888
      0.1052       0.6646
      0.1054       0.7131
      0.1056       0.4428
      0.1058       0.4028
      0.1060       0.3528
      0.1062       0.3977
      0.1064       0.3855
      0.1066       0.4780
      0.1068       0.3828
      0.1070       0.3627
      0.1072       0.4043
      0.1074       0.4076
      0.1076       0.3936
      0.1078       0.4070
      0.1080       0.4207
      0.1082       0.4846
      0.1084       0.3498
      0.1086       0.3810
      0.1088       0.3974
      0.1090       0.3721
      0.1092       0.4018
      0.1094       0.3905
      0.1096       0.4291
      0.1098       0.4019
      0.1100       0.3568
      0.1102       0.3945
      0.1104       0.3253
      0.1106       0.3641
      0.1108       0.3740
      0.1110       0.3963
      0.1112       0.3950
      0.1114       0.3974
      0.1116       0.4352
      0.1118       0.3990
      0.1120       0.3716
      0.1122       0.4408
      0.1124       0.4004
      0.1126       0.4464
      0.1128       0.4129
      0.1130       0.3755
      0.1132       0.4021
      0.1134       0.4171
      0.1136       0.3615
      0.1138       0.5005
      0.1140       0.4064
      0.1142       0.3510
      0.1144       0.3989
      0.1146       0.3923
      0.1148       0.3921
      0.1150       0.5217
      0.1152       0.3551
      0.1154       0.3484
      0.1156       0.4788
      0.1158       0.4557
      0.1160       0.3638
      0.1162       0.4500
      0.1164       0.3918
      0.1166       0.3074
      0.1168       0.4867
      0.1170       0.3603
      0.1172       0.3327
      0.1174       0.3275
      0.1176       0.4662
      0.1178       0.4180
      0.1180       0.3954
      0.1182       0.4561
      0.1184       0.3267
      0.1186       0.4889
      0.1188       0.4018
      0.1190       0.3651
      0.1192       0.5448
      0.1194       0.3807
      0.1196       0.3660
      0.1198       0.3402
      0.1200       0.3868
      0.1202       0.4438
      0.1204       0.3505
      0.1206       0.3602
      0.1208       0.3437
      0.1210       0.3895
      0.1212       0.4983
      0.1214       0.4405
      0.1216       0.5236
      0.1218       0.6255
      0.1220       0.7280
      0.1222       0.5619
      0.1224       0.4230
      0.1226       0.3935
      0.1228       0.3520
      0.1230       0.4916
      0.1232       0.3483
      0.1234       0.3613
      0.1236       0.3730
      0.1238       0.4398
      0.1240       0.4031
      0.1242       0.5350
      0.1244       0.6855
      0.1246       0.7062
      0.1248       0.6500
      0.1250       0.5852
      0.1252       0.4701
      0.1254       0.5721
      0.1256       0.5082
      0.1258       0.5145
      0.1260       0.5582
      0.1262       0.6566
      0.1264       0.6763
      0.1266       0.6506
      0.1268       0.6017
      0.1270       0.5481
      0.1272       0.4006
      0.1274       0.4120
      0.1276       0.3616
      0.1278       0.3699
      0.1280       0.3769
      0.1282       0.3990
      0.1284       0.4641
      0.1286       0.4509
      0.1288       0.3513
      0.1290       0.4048
      0.1292       0.4068
      0.1294       0.4231
      0.1296       0.4229
      0.1298       0.4800
      0.1300       0.3358
      0.1302       0.3544
      0.1304       0.4991
      0.1306       0.5059
      0.1308       0.3875
      0.1310       0.3908
      0.1312       0.4084
      0.1314       0.3486
      0.1316       0.3890
      0.1318       0.4253
      0.1320       0.4252
      0.1322       0.4004
      0.1324       0.4036
      0.1326       0.4024
      0.1328       0.3610
      0.1330       0.4582
      0.1332       0.3975
      0.1334       0.4313
      0.1336       0.4173
      0.1338       0.3829
      0.1340       0.3676
      0.1342       0.3929
      0.1344       0.3898
      0.1346       0.4120
      0.1348       0.3560
      0.1350       0.4110
      0.1352       0.4234
      0.1354       0.4373
      0.1356       0.3777
      0.1358       0.4654
      0.1360       0.4471
      0.1362       0.4140
      0.1364       0.4124
      0.1366       0.4060
      0.1368       0.4328
      0.1370       0.3885
      0.1372       0.3638
      0.1374       0.3886
      0.1376       0.4181
      0.1378       0.3367
      0.1380       0.4033
      0.1382       0.4785
      0.1384       0.4388
      0.1386       0.3830
      0.1388       0.4580
      0.1390       0.4043
      0.1392       0.4036
      0.1394       0.3693
      0.1396       0.4789
      0.1398       0.3894
      0.1400       0.4553
      0.1402       0.3843
      0.1404       0.4506
      0.1406       0.5160
      0.1408       0.4957
      0.1410       0.3527
      0.1412       0.4383
      0.1414       0.3973
      0.1416       0.4704
      0.1418       0.5741
      0.1420       0.5116
      0.1422       0.5858
      0.1424       0.7581
      0.1426       0.6046
      0.1428       0.5291
      0.1430       0.6785
      0.1432       0.6089
      0.1434       0.6911
      0.1436       0.7174
      0.1438       0.5760
      0.1440       0.6153
      0.1442       0.5551
      0.1444       0.5427
      0.1446       0.6557
      0.1448       0.6603
      0.1450       0.6563
      0.1452       0.4547
      0.1454       0.4251
      0.1456       0.4780
      0.1458       0.3827
      0.1460       0.3178
      0.1462       0.4459
      0.1464       0.3518
      0.1466       0.3676
      0.1468       0.3591
      0.1470       0.3868
      0.1472       0.4286
      0.1474       0.3602
      0.1476       0.3511
      0.1478       0.3977
      0.1480       0.3549
      0.1482       0.3353
      0.1484       0.3438
      0.1486       0.3903
      0.1488       0.4041
      0.1490       0.3284
      0.1492       0.4025
      0.1494       0.3948
      0.1496       0.4132
      0.1498       0.3074
      0.1500       0.3892
      0.1502       0.3700
      0.1504       0.3746
      0.1506       0.3612
      0.1508       0.3828
      0.1510       0.3369
      0.1512       0.3381
      0.1514       0.3374
      0.1516       0.3814
      0.1518       0.3791
      0.1520       0.3841
      0.1522       0.4412
      0.1524       0.4318
      0.1526       0.4245
      0.1528       0.3923
      0.1530       0.4069
      0.1532       0.3689
      0.1534       0.4037
      0.1536       0.3705
      0.1538       0.3629
      0.1540       0.4687
      0.1542       0.3945
      0.1544       0.3252
      0.1546       0.3853
      0.1548       0.3662
      0.1550       0.2776
      0.1552       0.3756
      0.1554       0.2970
      0.1556       0.4320
      0.1558       0.3908
      0.1560       0.4021
      0.1562       0.4744
      0.1564       0.3843
      0.1566       0.4253
      0.1568       0.3543
      0.1570       0.3659
      0.1572       0.3889
      0.1574       0.3520
      0.1576       0.4457
      0.1578       0.4407
      0.1580       0.2844
      0.1582       0.3506
      0.1584       0.4007
      0.1586       0.3595
      0.1588       0.2921
      0.1590       0.2988
      0.1592       0.3667
      0.1594       0.3507
      0.1596       0.3809
      0.1598       0.4296
      0.1600       0.4269
      0.1602       0.4451
      0.1604       0.5336
      0.1606       0.3835
      0.1608       0.3087
      0.1610       0.4127
      0.1612       0.4033
      0.1614       0.4155
      0.1616       0.3263
      0.1618       0.4563
      0.1620       0.4222
      0.1622       0.4439
      0.1624       0.3588
      0.1626       0.4196
      0.1628       0.4626
      0.1630       0.4344
      0.1632       0.4451
      0.1634       0.3973
      0.1636       0.4574
      0.1638       0.3455
      0.1640       0.3732
      0.1642       0.4376
      0.1644       0.4342
      0.1646       0.3488
      0.1648       0.3604
      0.1650       0.4387
      0.1652       0.3925
      0.1654       0.5025
      0.1656       0.3430
      0.1658       0.3826
      0.1660       0.4664
      0.1662       0.4648
      0.1664       0.3867
      0.1666       0.3607
      0.1668       0.4277
      0.1670       0.3332
      0.1672       0.4082
      0.1674       0.3237
      0.1676       0.4052
      0.1678       0.3841
      0.1680       0.4327
      0.1682       0.4434
      0.1684       0.4449
      0.1686       0.3842
      0.1688       0.3501
      0.1690       0.3556
      0.1692       0.4114
      0.1694       0.4027
      0.1696       0.3909
      0.1698       0.3930
      0.1700       0.3944
      0.1702       0.3209
      0.1704       0.4241
      0.1706       0.3769
      0.1708       0.4153
      0.1710       0.3774
      0.1712       0.3454
      0.1714       0.3435
      0.1716       0.3876
      0.1718       0.4591
      0.1720       0.3636
      0.1722       0.4750
      0.1724       0.3857
      0.1726       0.4076
      0.1728       0.3543
      0.1730       0.4736
      0.1732       0.3896
      0.1734       0.3952
      0.1736       0.3942
      0.1738       0.3549
      0.1740       0.3472
      0.1742       0.3702
      0.1744       0.4787
      0.1746       0.3695
      0.1748       0.4002
      0.1750       0.4149
      0.1752       0.4423
      0.1754       0.3616
      0.1756       0.3570
      0.1758       0.3441
      0.1760       0.3276
      0.1762       0.3933
      0.1764       0.3529
      0.1766       0.3538
      0.1768       0.4003
      0.1770       0.3911
      0.1772       0.3869
      0.1774       0.3533
      0.1776       0.4396
      0.1778       0.4359
      0.1780       0.3426
      0.1782       0.4160
      0.1784       0.3746
      0.1786       0.4549
      0.1788       0.3616
      0.1790       0.3704
      0.1792       0.4053
      0.1794       0.3830
      0.1796       0.3522
      0.1798       0.3612
      0.1800       0.4207
      0.1802       0.3485
      0.1804       0.3340
      0.1806       0.3938
      0.1808       0.3946
      0.1810       0.3587
      0.1812       0.3631
      0.1814       0.4337
      0.1816       0.3554
      0.1818       0.4059
      0.1820       0.4434
      0.1822       0.4849
      0.1824       0.4164
      0.1826       0.3725
      0.1828       0.4360
      0.1830       0.4069
      0.1832       0.3177
      0.1834       0.3716
      0.1836       0.4433
      0.1838       0.4532
      0.1840       0.4041
      0.1842       0.4020
      0.1844       0.4001
      0.1846       0.3974
      0.1848       0.4178
      0.1850       0.4265
      0.1852       0.4115
      0.1854       0.3746
      0.1856       0.3913
      0.1858       0.3816
      0.1860       0.4448
      0.1862       0.3979
      0.1864       0.3933
      0.1866       0.3553
      0.1868       0.4695
      0.1870       0.4192
      0.1872       0.3782
      0.1874       0.4095
      0.1876       0.3762
      0.1878       0.3935
      0.1880       0.4198
      0.1882       0.3649
      0.1884       0.4358
      0.1886       0.3930
      0.1888       0.4609
      0.1890       0.4355
      0.1892       0.4258
      0.1894       0.4516
      0.1896       0.4700
      0.1898       0.3895
      0.1900       0.3971
      0.1902       0.4292
      0.1904       0.3747
      0.1906       0.4365
      0.1908       0.4303
      0.1910       0.4717
      0.1912       0.4370
      0.1914       0.4394
      0.1916       0.3710
      0.1918       0.4023
      0.1920       0.4750
      0.1922       0.4085
      0.1924       0.3984
      0.1926       0.4617
      0.1928       0.4508
      0.1930       0.3583
      0.1932       0.4228
      0.1934       0.4386
      0.1936       0.4683
      0.1938       0.4531
      0.1940       0.4053
      0.1942       0.3916
      0.1944       0.4440
      0.1946       0.4151
      0.1948       0.4551
      0.1950       0.4104
      0.1952       0.4001
      0.1954       0.4177
      0.1956       0.4272
      0.1958       0.4385
      0.1960       0.4482
      0.1962       0.3900
      0.1964       0.4318
      0.1966       0.4373
      0.1968       0.4403
      0.1970       0.4306
      0.1972       0.4647
      0.1974       0.5097
      0.1976       0.4223
      0.1978       0.4318
      0.1980       0.4258
      0.1982       0.3950
      0.1984       0.4345
      0.1986       0.3590
      0.1988       0.4227
      0.1990       0.4633
      0.1992       0.4124
      0.1994       0.4150
      0.1996       0.4272
      0.1998       0.4337
      0.2000       0.3472
      0.2002       0.4301
      0.2004       0.3726
      0.2006       0.3391
      0.2008       0.4183
      0.2010       0.4011
      0.2012       0.3645
      0.2014       0.4610
      0.2016       0.4453
      0.2018       0.3842
      0.2020       0.3642
      0.2022       0.3691
      0.2024       0.4490
      0.2026       0.4223
      0.2028       0.5970
      0.2030       0.4335
      0.2032       0.3327
      0.2034       0.4964
      0.2036       0.3999
      0.2038       0.3336
      0.2040       0.3656
